OBJECTID,StationID,Direction,Volume,DateTime,ABPair,DateTimeTxt,State,Sta_Dir,DateTime2,DateTime1
357703,P0042,S,1468,2011/02/05 10:00:00+00,4579245603,2/5/2011 10:00 AM,MD,P0042_S,02/05/2011 10:00 AM,02/05/2011 10:00
357704,P0042,N,1582,2011/02/05 10:00:00+00,4560345792,2/5/2011 10:00 AM,MD,P0042_N,02/05/2011 10:00 AM,02/05/2011 10:00
357705,P0042,S,1364,2011/02/08 19:00:00+00,4579245603,2/8/2011 7:00 PM,MD,P0042_S,02/08/2011 19:00 PM,02/08/2011 19:00
357706,P0042,N,1271,2011/02/08 19:00:00+00,4560345792,2/8/2011 7:00 PM,MD,P0042_N,02/08/2011 19:00 PM,02/08/2011 19:00
357707,P0042,N,2272,2011/02/07 17:00:00+00,4560345792,2/7/2011 5:00 PM,MD,P0042_N,02/07/2011 17:00 PM,02/07/2011 17:00
357708,P0042,S,2598,2011/02/07 17:00:00+00,4579245603,2/7/2011 5:00 PM,MD,P0042_S,02/07/2011 17:00 PM,02/07/2011 17:00
357709,P0042,S,149,2011/02/09 04:00:00+00,4579245603,2/9/2011 4:00 AM,MD,P0042_S,02/09/2011 04:00 AM,02/09/2011 04:00
357710,P0042,N,172,2011/02/09 04:00:00+00,4560345792,2/9/2011 4:00 AM,MD,P0042_N,02/09/2011 04:00 AM,02/09/2011 04:00
357711,P0042,S,121,2011/02/08 00:00:00+00,4579245603,2/8/2011 0:00,MD,P0042_S,02/08/2011 00:00 AM,02/08/2011 00:00
357712,P0042,N,115,2011/02/08 00:00:00+00,4560345792,2/8/2011 0:00,MD,P0042_N,02/08/2011 00:00 AM,02/08/2011 00:00
357713,P0042,S,1751,2011/02/11 11:00:00+00,4579245603,2/11/2011 11:00 AM,MD,P0042_S,02/11/2011 11:00 AM,02/11/2011 11:00
357714,P0042,N,1940,2011/02/11 11:00:00+00,4560345792,2/11/2011 11:00 AM,MD,P0042_N,02/11/2011 11:00 AM,02/11/2011 11:00
359827,P0042,S,1390,2011/02/13 18:00:00+00,4579245603,2/13/2011 6:00 PM,MD,P0042_S,02/13/2011 18:00 PM,02/13/2011 18:00
359828,P0042,N,1212,2011/02/13 18:00:00+00,4560345792,2/13/2011 6:00 PM,MD,P0042_N,02/13/2011 18:00 PM,02/13/2011 18:00
359829,P0042,N,1936,2011/02/12 15:00:00+00,4560345792,2/12/2011 3:00 PM,MD,P0042_N,02/12/2011 15:00 PM,02/12/2011 15:00
359830,P0042,N,1850,2011/02/12 16:00:00+00,4560345792,2/12/2011 4:00 PM,MD,P0042_N,02/12/2011 16:00 PM,02/12/2011 16:00
359831,P0042,S,1853,2011/02/12 16:00:00+00,4579245603,2/12/2011 4:00 PM,MD,P0042_S,02/12/2011 16:00 PM,02/12/2011 16:00
359832,P0042,S,506,2011/02/13 21:00:00+00,4579245603,2/13/2011 9:00 PM,MD,P0042_S,02/13/2011 21:00 PM,02/13/2011 21:00
359833,P0042,N,566,2011/02/13 21:00:00+00,4560345792,2/13/2011 9:00 PM,MD,P0042_N,02/13/2011 21:00 PM,02/13/2011 21:00
359834,P0042,N,1522,2011/02/12 18:00:00+00,4560345792,2/12/2011 6:00 PM,MD,P0042_N,02/12/2011 18:00 PM,02/12/2011 18:00
359835,P0042,S,1666,2011/02/12 18:00:00+00,4579245603,2/12/2011 6:00 PM,MD,P0042_S,02/12/2011 18:00 PM,02/12/2011 18:00
359836,P0042,N,193,2011/02/14 04:00:00+00,4560345792,2/14/2011 4:00 AM,MD,P0042_N,02/14/2011 04:00 AM,02/14/2011 04:00
359837,P0042,S,176,2011/02/14 04:00:00+00,4579245603,2/14/2011 4:00 AM,MD,P0042_S,02/14/2011 04:00 AM,02/14/2011 04:00
359838,P0042,S,1637,2011/02/02 14:00:00+00,4579245603,2/2/2011 2:00 PM,MD,P0042_S,02/02/2011 14:00 PM,02/02/2011 14:00
359839,P0042,N,2002,2011/02/02 14:00:00+00,4560345792,2/2/2011 2:00 PM,MD,P0042_N,02/02/2011 14:00 PM,02/02/2011 14:00
359840,P0042,N,1659,2011/02/15 09:00:00+00,4560345792,2/15/2011 9:00 AM,MD,P0042_N,02/15/2011 09:00 AM,02/15/2011 09:00
359841,P0042,S,2225,2011/02/15 09:00:00+00,4579245603,2/15/2011 9:00 AM,MD,P0042_S,02/15/2011 09:00 AM,02/15/2011 09:00
359842,P0042,N,2163,2011/01/04 15:00:00+00,4560345792,1/4/2011 3:00 PM,MD,P0042_N,01/04/2011 15:00 PM,01/04/2011 15:00
359843,P0042,S,2249,2011/01/04 15:00:00+00,4579245603,1/4/2011 3:00 PM,MD,P0042_S,01/04/2011 15:00 PM,01/04/2011 15:00
359844,P0042,N,2475,2011/01/04 16:00:00+00,4560345792,1/4/2011 4:00 PM,MD,P0042_N,01/04/2011 16:00 PM,01/04/2011 16:00
359845,P0042,S,2397,2011/01/04 16:00:00+00,4579245603,1/4/2011 4:00 PM,MD,P0042_S,01/04/2011 16:00 PM,01/04/2011 16:00
359846,P0042,S,1836,2011/01/03 14:00:00+00,4579245603,1/3/2011 2:00 PM,MD,P0042_S,01/03/2011 14:00 PM,01/03/2011 14:00
359847,P0042,N,1906,2011/01/03 14:00:00+00,4560345792,1/3/2011 2:00 PM,MD,P0042_N,01/03/2011 14:00 PM,01/03/2011 14:00
359848,P0042,N,1726,2011/01/04 18:00:00+00,4560345792,1/4/2011 6:00 PM,MD,P0042_N,01/04/2011 18:00 PM,01/04/2011 18:00
359849,P0042,S,1988,2011/01/04 18:00:00+00,4579245603,1/4/2011 6:00 PM,MD,P0042_S,01/04/2011 18:00 PM,01/04/2011 18:00
359850,P0042,N,2368,2011/01/03 16:00:00+00,4560345792,1/3/2011 4:00 PM,MD,P0042_N,01/03/2011 16:00 PM,01/03/2011 16:00
359851,P0042,S,2441,2011/01/03 16:00:00+00,4579245603,1/3/2011 4:00 PM,MD,P0042_S,01/03/2011 16:00 PM,01/03/2011 16:00
359852,P0042,S,728,2011/01/04 21:00:00+00,4579245603,1/4/2011 9:00 PM,MD,P0042_S,01/04/2011 21:00 PM,01/04/2011 21:00
359853,P0042,N,676,2011/01/04 21:00:00+00,4560345792,1/4/2011 9:00 PM,MD,P0042_N,01/04/2011 21:00 PM,01/04/2011 21:00
359854,P0042,N,1274,2011/02/04 06:00:00+00,4560345792,2/4/2011 6:00 AM,MD,P0042_N,02/04/2011 06:00 AM,02/04/2011 06:00
359855,P0042,N,1955,2011/02/04 07:00:00+00,4560345792,2/4/2011 7:00 AM,MD,P0042_N,02/04/2011 07:00 AM,02/04/2011 07:00
359856,P0042,S,2309,2011/02/04 07:00:00+00,4579245603,2/4/2011 7:00 AM,MD,P0042_S,02/04/2011 07:00 AM,02/04/2011 07:00
359857,P0042,N,187,2011/02/03 04:00:00+00,4560345792,2/3/2011 4:00 AM,MD,P0042_N,02/03/2011 04:00 AM,02/03/2011 04:00
359858,P0042,S,170,2011/02/03 04:00:00+00,4579245603,2/3/2011 4:00 AM,MD,P0042_S,02/03/2011 04:00 AM,02/03/2011 04:00
359859,P0042,N,1633,2011/02/06 14:00:00+00,4560345792,2/6/2011 2:00 PM,MD,P0042_N,02/06/2011 14:00 PM,02/06/2011 14:00
359860,P0042,S,1595,2011/02/06 14:00:00+00,4579245603,2/6/2011 2:00 PM,MD,P0042_S,02/06/2011 14:00 PM,02/06/2011 14:00
359861,P0042,N,1691,2011/02/06 15:00:00+00,4560345792,2/6/2011 3:00 PM,MD,P0042_N,02/06/2011 15:00 PM,02/06/2011 15:00
359862,P0042,S,1604,2011/02/06 15:00:00+00,4579245603,2/6/2011 3:00 PM,MD,P0042_S,02/06/2011 15:00 PM,02/06/2011 15:00
359863,P0042,N,1838,2011/02/05 11:00:00+00,4560345792,2/5/2011 11:00 AM,MD,P0042_N,02/05/2011 11:00 AM,02/05/2011 11:00
359864,P0042,N,1963,2011/02/05 12:00:00+00,4560345792,2/5/2011 12:00 PM,MD,P0042_N,02/05/2011 12:00 PM,02/05/2011 12:00
359865,P0042,S,1892,2011/02/05 12:00:00+00,4579245603,2/5/2011 12:00 PM,MD,P0042_S,02/05/2011 12:00 PM,02/05/2011 12:00
359866,P0042,S,73,2011/02/08 01:00:00+00,4579245603,2/8/2011 1:00 AM,MD,P0042_S,02/08/2011 01:00 AM,02/08/2011 01:00
359867,P0042,N,1049,2011/02/08 21:00:00+00,4560345792,2/8/2011 9:00 PM,MD,P0042_N,02/08/2011 21:00 PM,02/08/2011 21:00
359868,P0042,S,820,2011/02/08 21:00:00+00,4579245603,2/8/2011 9:00 PM,MD,P0042_S,02/08/2011 21:00 PM,02/08/2011 21:00
359869,P0042,S,481,2011/02/08 22:00:00+00,4579245603,2/8/2011 10:00 PM,MD,P0042_S,02/08/2011 22:00 PM,02/08/2011 22:00
359870,P0042,N,454,2011/02/08 22:00:00+00,4560345792,2/8/2011 10:00 PM,MD,P0042_N,02/08/2011 22:00 PM,02/08/2011 22:00
359871,P0042,S,1199,2011/02/07 19:00:00+00,4579245603,2/7/2011 7:00 PM,MD,P0042_S,02/07/2011 19:00 PM,02/07/2011 19:00
359872,P0042,N,1204,2011/02/07 19:00:00+00,4560345792,2/7/2011 7:00 PM,MD,P0042_N,02/07/2011 19:00 PM,02/07/2011 19:00
359873,P0042,S,2524,2011/02/09 07:00:00+00,4579245603,2/9/2011 7:00 AM,MD,P0042_S,02/09/2011 07:00 AM,02/09/2011 07:00
359874,P0042,N,2095,2011/02/09 07:00:00+00,4560345792,2/9/2011 7:00 AM,MD,P0042_N,02/09/2011 07:00 AM,02/09/2011 07:00
359875,P0042,N,81,2011/02/08 03:00:00+00,4560345792,2/8/2011 3:00 AM,MD,P0042_N,02/08/2011 03:00 AM,02/08/2011 03:00
359876,P0042,S,55,2011/02/08 03:00:00+00,4579245603,2/8/2011 3:00 AM,MD,P0042_S,02/08/2011 03:00 AM,02/08/2011 03:00
359877,P0042,N,2113,2011/02/11 14:00:00+00,4560345792,2/11/2011 2:00 PM,MD,P0042_N,02/11/2011 14:00 PM,02/11/2011 14:00
359878,P0042,S,1992,2011/02/11 14:00:00+00,4579245603,2/11/2011 2:00 PM,MD,P0042_S,02/11/2011 14:00 PM,02/11/2011 14:00
359879,P0042,N,1163,2011/02/12 19:00:00+00,4560345792,2/12/2011 7:00 PM,MD,P0042_N,02/12/2011 19:00 PM,02/12/2011 19:00
359880,P0042,S,1241,2011/02/12 19:00:00+00,4579245603,2/12/2011 7:00 PM,MD,P0042_S,02/12/2011 19:00 PM,02/12/2011 19:00
359881,P0042,N,2334,2011/02/11 17:00:00+00,4560345792,2/11/2011 5:00 PM,MD,P0042_N,02/11/2011 17:00 PM,02/11/2011 17:00
359882,P0042,S,2576,2011/02/11 17:00:00+00,4579245603,2/11/2011 5:00 PM,MD,P0042_S,02/11/2011 17:00 PM,02/11/2011 17:00
359883,P0042,N,146,2011/02/13 02:00:00+00,4560345792,2/13/2011 2:00 AM,MD,P0042_N,02/13/2011 02:00 AM,02/13/2011 02:00
359884,P0042,S,130,2011/02/13 02:00:00+00,4579245603,2/13/2011 2:00 AM,MD,P0042_S,02/13/2011 02:00 AM,02/13/2011 02:00
