Season,Date,Opponent,W/L,Score,G,A,PTS,SH,PCT,NO/MIN,PP,SH,EN,GW,GTG,HT,UA,BLK
2020,12/11/20,at Boston College,W,4-1,4,7,11,36,0.111,2-4,0,0,0,1,0,0,0,10
2020,12/13/20,Boston College,L,1-2,1,2,3,33,0.03,5-10,0,0,0,0,0,0,0,15
2020,01/03/21,Maine,W,3-0,3,3,6,47,0.064,1-2,0,0,0,1,0,0,1,6
2020,01/04/21,Maine,W,1-0,1,1,2,41,0.024,4-8,0,0,0,1,0,0,0,15
2020,01/08/21,New Hampshire,W,3-1,3,3,6,42,0.071,3-6,0,1,1,1,0,0,0,16
2020,01/09/21,at New Hampshire,T,2-2,2,3,5,32,0.063,3-6,1,0,0,0,0,0,0,6
2020,1/12/21,Providence,W,4-0,4,4,8,37,0.108,5-10,1,0,0,1,0,0,1,18
2020,1/17/21,Maine,W,3-2,3,5,8,54,0.056,2-4,0,0,0,1,0,0,0,8
2020,1/22/21,Providence,W,4-1,4,7,11,32,0.125,4-8,0,1,1,1,0,0,0,6
2020,1/23/21,at Providence,W,5-0,5,7,12,31,0.161,5-10,3,0,0,1,0,0,0,13
2020,1/26/21,UConn,W,2-0,2,3,5,31,0.065,1-2,0,0,0,1,0,0,0,11
2020,1/29/21,Merrimack,W,5-0,5,4,9,43,0.116,2-4,0,1,0,1,0,1,2,7
2020,1/30/21,at Merrimack,W,6-0,6,10,16,36,0.167,6-12,1,1,0,1,0,0,1,9
2020,02/05/21,at Holy Cross,W,8-0,8,14,22,46,0.174,3-6,3,1,0,1,0,1,0,15
2020,02/06/21,Holy Cross,W,12-0,12,21,33,55,0.218,4-8,3,0,0,1,0,0,0,5
2020,2/13/21,at New Hampshire,W,6-1,6,7,13,41,0.146,4-8,1,0,2,1,0,0,2,5
2020,2/14/21,New Hampshire,W,4-1,4,6,10,42,0.095,6-12,1,0,0,1,0,0,1,12
2020,2/19/21,at Vermont,W,3-1,3,2,5,29,0.103,1-2,0,0,1,1,0,0,1,11
2020,2/20/21,at Vermont,W,4-1,4,5,9,28,0.143,3-6,1,0,0,1,0,0,1,17
2020,2/28/21,[8] New Hampshire,W,7-0,7,10,17,46,0.152,5-10,1,0,0,1,0,0,1,9
2020,03/03/21,[7] Connecticut,W,2-1,2,4,6,30,0.067,1-2,0,1,0,1,0,0,0,14
2020,03/06/21,[3] Providence,W,6-2,6,7,13,47,0.128,2-4,1,0,1,1,0,0,1,13
2020,3/15/21,Robert Morris,W,5-1,5,6,11,46,0.109,2-4,0,1,0,1,0,0,1,7
2020,3/18/21,Minn. Duluth,W,3-2,3,4,7,47,0.064,1-2,1,0,0,1,0,0,1,13
2020,3/20/21,Wisconsin,L,1-2,1,2,3,25,0.04,1-2,0,0,0,0,0,0,0,20
2019,10/04/19,at Union (NY),W,5-0,5,9,14,44,0.114,5-10,1,0,0,1,0,0,0,6
